date,value,series_code,source
2024-01-02,invalid_value,11,bcb_api
2024-01-03,0.043739,11,bcb_api
2024-01-04,0.043739,11,bcb_api
2024-01-05,0.043739,11,bcb_api
2024-01-08,0.043739,11,bcb_api
2024-01-09,0.043739,11,bcb_api
2024-01-10,0.043739,11,bcb_api
2024-01-11,0.043739,11,bcb_api
2024-01-12,0.043739,11,bcb_api
2024-01-15,0.043739,11,bcb_api
2024-01-16,0.043739,11,bcb_api
2024-01-17,0.043739,11,bcb_api
2024-01-18,0.043739,11,bcb_api
2024-01-19,0.043739,11,bcb_api
2024-01-22,0.043739,11,bcb_api
2024-01-23,0.043739,11,bcb_api
2024-01-24,0.043739,11,bcb_api
2024-01-25,0.043739,11,bcb_api
2024-01-26,0.043739,11,bcb_api
2024-01-29,0.043739,11,bcb_api
2024-01-30,0.043739,11,bcb_api
2024-01-31,0.043739,11,bcb_api
